video,config,n_points,mae,n_lost,track_ratio
paragliding-launch,K1_LK_FB,25,13.7,45.3,0.373
paragliding-launch,K2_LK_FB_Conf,25,13.7,45.3,0.373
paragliding-launch,K3_LK_FB_Conf_Adapt,25,8.868,57.4,0.217
paragliding-launch,K4_LK_FB_Conf_Adapt_Drift,25,8.876,58.6,0.202
paragliding-launch,K5_Tam_Sistem,25,83.479,18.4,0.749
camel,K0_LK_only,10,17.893,26.4,0.566
camel,K1_LK_FB,10,2.689,38.0,0.424
camel,K2_LK_FB_Conf,10,2.689,38.0,0.424
camel,K3_LK_FB_Conf_Adapt,10,2.774,44.5,0.351
camel,K4_LK_FB_Conf_Adapt_Drift,10,2.767,52.5,0.261
camel,K5_Tam_Sistem,10,105.367,6.0,0.916
blackswan,K0_LK_only,5,2.787,0.0,1.0
blackswan,K1_LK_FB,5,2.787,0.0,1.0
blackswan,K2_LK_FB_Conf,5,2.787,0.0,1.0
blackswan,K3_LK_FB_Conf_Adapt,5,2.901,0.0,1.0
blackswan,K4_LK_FB_Conf_Adapt_Drift,5,2.901,0.0,1.0
blackswan,K5_Tam_Sistem,5,2.901,0.0,1.0
dog,K0_LK_only,10,17.731,4.1,0.849
dog,K1_LK_FB,10,8.808,24.7,0.382
dog,K2_LK_FB_Conf,10,8.808,24.7,0.382
dog,K3_LK_FB_Conf_Adapt,10,8.543,29.5,0.228
dog,K4_LK_FB_Conf_Adapt_Drift,10,8.03,36.6,0.098
dog,K5_Tam_Sistem,10,16.256,10.2,0.705
bike-packing,K0_LK_only,25,32.965,10.3,0.712
bike-packing,K1_LK_FB,25,3.662,36.0,0.179
bike-packing,K2_LK_FB_Conf,25,3.662,36.0,0.179
bike-packing,K3_LK_FB_Conf_Adapt,25,3.48,37.3,0.155
bike-packing,K4_LK_FB_Conf_Adapt_Drift,25,3.343,37.8,0.141
bike-packing,K5_Tam_Sistem,25,37.3,26.8,0.362
shooting,K0_LK_only,25,29.526,13.9,0.269
shooting,K1_LK_FB,25,12.601,17.0,0.102
shooting,K2_LK_FB_Conf,25,12.601,17.0,0.102
shooting,K3_LK_FB_Conf_Adapt,25,12.932,17.3,0.089
shooting,K4_LK_FB_Conf_Adapt_Drift,25,12.932,17.3,0.089
shooting,K5_Tam_Sistem,25,28.429,15.1,0.21
lab-coat,K0_LK_only,25,10.461,1.2,0.968
lab-coat,K1_LK_FB,25,9.57,3.0,0.915
lab-coat,K2_LK_FB_Conf,25,9.57,3.0,0.915
lab-coat,K3_LK_FB_Conf_Adapt,25,7.011,11.5,0.665
lab-coat,K4_LK_FB_Conf_Adapt_Drift,25,6.277,15.8,0.529
lab-coat,K5_Tam_Sistem,25,11.913,5.1,0.862
kite-surf,K0_LK_only,25,14.34,3.7,0.92
kite-surf,K1_LK_FB,25,3.78,7.6,0.84
kite-surf,K2_LK_FB_Conf,25,3.78,7.6,0.84
kite-surf,K3_LK_FB_Conf_Adapt,25,3.532,22.0,0.547
kite-surf,K4_LK_FB_Conf_Adapt_Drift,25,3.532,24.5,0.496
kite-surf,K5_Tam_Sistem,25,19.024,10.6,0.78
bmx-trees,K0_LK_only,25,103.932,24.5,0.478
bmx-trees,K1_LK_FB,25,5.585,39.9,0.161
bmx-trees,K2_LK_FB_Conf,25,5.585,39.9,0.161
bmx-trees,K3_LK_FB_Conf_Adapt,25,5.449,43.0,0.104
bmx-trees,K4_LK_FB_Conf_Adapt_Drift,25,5.439,43.1,0.103
bmx-trees,K5_Tam_Sistem,25,26.613,35.0,0.27
dance-twirl,K0_LK_only,25,136.639,2.3,0.895
dance-twirl,K1_LK_FB,25,6.304,54.7,0.167
dance-twirl,K2_LK_FB_Conf,25,6.304,54.7,0.167
dance-twirl,K3_LK_FB_Conf_Adapt,25,6.512,60.2,0.099
dance-twirl,K4_LK_FB_Conf_Adapt_Drift,25,6.51,60.8,0.089
dance-twirl,K5_Tam_Sistem,25,96.993,34.1,0.514
car-shadow,K0_LK_only,25,153.261,0.0,1.0
car-shadow,K1_LK_FB,25,9.252,19.1,0.333
car-shadow,K2_LK_FB_Conf,25,9.252,19.1,0.333
car-shadow,K3_LK_FB_Conf_Adapt,25,9.904,23.4,0.184
car-shadow,K4_LK_FB_Conf_Adapt_Drift,25,9.904,23.4,0.184
car-shadow,K5_Tam_Sistem,25,150.531,7.7,0.745
libby,K0_LK_only,25,30.616,8.4,0.126
libby,K1_LK_FB,25,6.539,11.1,0.041
libby,K2_LK_FB_Conf,25,6.539,11.1,0.041
libby,K3_LK_FB_Conf_Adapt,25,1.679,11.6,0.029
libby,K4_LK_FB_Conf_Adapt_Drift,25,1.679,11.6,0.029
libby,K5_Tam_Sistem,25,27.568,9.5,0.089
scooter-black,K0_LK_only,25,121.403,10.6,0.674
scooter-black,K1_LK_FB,25,28.38,18.0,0.476
scooter-black,K2_LK_FB_Conf,25,28.38,18.0,0.476
scooter-black,K3_LK_FB_Conf_Adapt,25,11.88,28.2,0.221
scooter-black,K4_LK_FB_Conf_Adapt_Drift,25,10.15,30.2,0.174
scooter-black,K5_Tam_Sistem,25,131.605,11.7,0.655
mbike-trick,K0_LK_only,25,10.692,0.7,0.99
mbike-trick,K1_LK_FB,25,4.652,18.6,0.733
mbike-trick,K2_LK_FB_Conf,25,4.652,18.6,0.733
mbike-trick,K3_LK_FB_Conf_Adapt,25,3.231,32.9,0.443
mbike-trick,K4_LK_FB_Conf_Adapt_Drift,25,3.146,34.2,0.427
mbike-trick,K5_Tam_Sistem,25,9.826,10.8,0.837
loading,K0_LK_only,25,18.704,4.8,0.838
loading,K1_LK_FB,25,7.332,21.7,0.482
loading,K2_LK_FB_Conf,25,7.332,21.7,0.482
loading,K3_LK_FB_Conf_Adapt,25,6.649,30.9,0.256
loading,K4_LK_FB_Conf_Adapt_Drift,25,5.936,32.0,0.232
loading,K5_Tam_Sistem,25,49.591,10.7,0.761
horsejump-high,K0_LK_only,25,72.361,6.8,0.827
horsejump-high,K1_LK_FB,25,14.074,35.7,0.228
horsejump-high,K2_LK_FB_Conf,25,14.074,35.7,0.228
horsejump-high,K3_LK_FB_Conf_Adapt,25,20.34,44.2,0.055
horsejump-high,K4_LK_FB_Conf_Adapt_Drift,25,20.34,44.2,0.055
horsejump-high,K5_Tam_Sistem,25,131.544,25.4,0.443
